dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
restaurant/D/short,TurkForecast-FM-Chronos2-LoRA-v1,123.74637992858887,123.74638075516422,7.374443191846212,0.725015936999844,0.7525384906133016,0.42570380735397334,6.351618519563342,11.1241350193437,0.5629876237424605,0.3732173588827749,0.30350904890464486,Sales,1
saugeen/D/short,TurkForecast-FM-Chronos2-LoRA-v1,2911.225520833333,2911.225436943056,38.38583335876465,2.5544081416350553,0.5258459726969401,0.8003928502400716,5.384907949076832,53.955773748815176,0.9648168680781152,0.6864010160860402,0.5909052350266903,Nature,1
saugeen/M/short,TurkForecast-FM-Chronos2-LoRA-v1,248.57975260416666,248.57976018886507,11.281306982040405,0.6033998468352851,0.5465644598007202,0.392250657081604,3.740998646768917,15.766412166506578,0.5808454881234884,0.4156111314315867,0.31205972318151104,Nature,1
saugeen/W/short,TurkForecast-FM-Chronos2-LoRA-v1,23.68859100341797,23.68858940163466,3.5674105882644653,0.2901206979928427,0.2200894057750702,0.24671702086925507,2.2973385180010517,4.867092664354971,0.34988086248171696,0.2564505625464087,0.1856047022634849,Nature,1
solar/10T/long,TurkForecast-FM-Chronos2-LoRA-v1,19.23235613721614,19.23235613721614,1.8166723494208739,0.7941239726053174,3.5173645623054024,1.441211769122567,3.818120671119489,4.385471027975917,0.9478493075369309,0.3926446252718286,0.29006620400278477,Energy,1
solar/10T/medium,TurkForecast-FM-Chronos2-LoRA-v1,19.42522395487724,19.42522395487724,1.8085002626631277,0.7899656500667791,3.620400844569428,1.441321532501106,3.6594001896293933,4.407405580937298,0.9780207642000411,0.4013133750603495,0.29022404279507985,Energy,1
solar/10T/short,TurkForecast-FM-Chronos2-LoRA-v1,18.993281915298052,18.993281915298052,1.7785098333428375,0.7784342503824689,4.95596794503629,1.4938188761690236,3.345156606542752,4.358128258243217,1.2677790383669734,0.5173683179187785,0.3859580534483757,Energy,1
solar/D/short,TurkForecast-FM-Chronos2-LoRA-v1,96713.17074999999,96713.17502210235,236.5770104726156,0.754791892927362,0.3790463616053264,0.2637776670455933,5.365628891628843,310.98741252661654,0.311861492883607,0.23724195435800766,0.18302973567625982,Energy,1
solar/H/long,TurkForecast-FM-Chronos2-LoRA-v1,863.2689375506894,863.2689375506894,13.061734590429847,0.9951096739685439,4.7256056823511985,1.4152125152068127,4.769305578292617,29.381438656925727,1.0187080243859727,0.4528741425850578,0.3396900582695741,Energy,1
solar/H/medium,TurkForecast-FM-Chronos2-LoRA-v1,917.9939781021898,917.9939781021898,14.019875304136253,1.0693943523681286,3.7866529688614436,1.4422406050410583,4.416687057144223,30.298415438801246,1.09141964095334,0.5050286310040903,0.36297925188459823,Energy,1
solar/H/short,TurkForecast-FM-Chronos2-LoRA-v1,515.3584885660807,515.3584938999968,11.81192224880318,0.8526820348967128,2.149821207555287,1.3734070450870703,8.290305394219512,22.701508508600938,0.59473280438092,0.30944805432073885,0.25984255080819,Energy,1
solar/W/short,TurkForecast-FM-Chronos2-LoRA-v1,420779.9146875,420779.9079668322,465.87262573242185,0.4446646429488684,0.06487692482769489,0.06328929387032986,4.539074532077146,648.675508006507,0.08854078571663619,0.06358915639190009,0.05184283840376276,Energy,1
sz_taxi/15T/long,TurkForecast-FM-Chronos2-LoRA-v1,15.539048032407408,15.539048032407408,2.702750233707265,0.5097233936474667,6160711490300.354,0.4007208060674858,4.202062870264974,3.9419599227297337,0.3648607885668546,0.25016174717646755,0.20111065809505738,Transport,1
sz_taxi/15T/medium,TurkForecast-FM-Chronos2-LoRA-v1,16.26090077457265,16.26090077457265,2.7383766109107905,0.5346223799157326,9442351611960.014,0.4037479498447516,4.004753579868697,4.0324807221575965,0.3752896393628863,0.25485165126805776,0.2020288543113543,Transport,1
sz_taxi/15T/short,TurkForecast-FM-Chronos2-LoRA-v1,13.175321003595986,13.17532116977995,2.570602640214686,0.44438987018524684,0.636834931174914,0.2745321827133496,3.521253454889609,3.6297825008664066,0.261464151333888,0.18516824214064412,0.14731471681436636,Transport,1
sz_taxi/H/short,TurkForecast-FM-Chronos2-LoRA-v1,5.449611894289652,5.449611871555619,1.6742767857030656,0.5346529789677261,0.221589563190937,0.18144336496790248,4.321829292269569,2.3344403813954324,0.16752728180083445,0.12015172547695722,0.09550119403894981,Transport,1
temperature_rain/D/short,TurkForecast-FM-Chronos2-LoRA-v1,321.8198042869568,321.81980812529605,11.02174806278199,4.833495982554783,1.4081182631745564,0.9123614786465963,105.8795804105927,17.939336785036307,0.8320054879656273,0.5111758061806186,0.4068868875347929,Nature,1
us_births/D/short,TurkForecast-FM-Chronos2-LoRA-v1,71849.86666666667,71849.86666666667,208.66666666666666,0.7682235467834035,0.02072704831759135,0.020614810784657798,9.483546535614513,268.0482543622821,0.026147817931014908,0.020355208136880645,0.017520549261617897,Healthcare,1
